days,Date,Open,High,Low,Close,Adj Close,Volume,avg
3,"Wednesday, 18 March 2020",18.15,20.75,16.365,19.655001,19.655001,212249800,18.5575
4,"Thursday, 19 March 2020",19.424999,22.040001,18,20.110001,20.110001,201202200,20.0200005
5,"Friday, 20 March 2020",21.495001,21.9,17.549999,17.754999,17.754999,195563800,19.7249995
1,"Monday, 23 March 2020",17.965,19,16.135,17.809999,17.809999,205018400,17.5675
2,"Tuesday, 24 March 2020",20.615,21.870001,20.065001,21.780001,21.780001,207456000,20.967501
3,"Wednesday, 25 March 2020",22.1,23.92,20.540001,21.275,21.275,208718600,22.2300005
4,"Thursday, 26 March 2020",21.915001,25,21.834999,24.74,24.74,162310000,23.4174995
5,"Friday, 27 March 2020",22.815001,24.165001,21.895,22.17,22.17,139285800,23.0300005
1,"Monday, 30 March 2020",22.790001,24.690001,22.5,24.5,24.5,104155400,23.5950005
2,"Tuesday, 31 March 2020",24.305,25.764999,23.43,23.82,23.82,182976000,24.5974995
3,"Wednesday, 1 April 2020",21.799999,22.860001,20.309999,20.865,20.865,133897400,21.585
4,"Thursday, 2 April 2020",20.6,22.17,20.385,22.1,22.1,116882800,21.2775
5,"Friday, 3 April 2020",21.93,22.49,20.43,21.209999,21.209999,138621000,21.46
1,"Monday, 6 April 2020",23.555,26.094999,23.18,25.65,25.65,129654200,24.6374995
2,"Tuesday, 7 April 2020",27.950001,28.145,25.5,25.6,25.6,164502400,26.8225
3,"Wednesday, 8 April 2020",26.344999,27.5,25.639999,27.235001,27.235001,129545000,26.5699995
4,"Thursday, 9 April 2020",27.965,28.360001,26.635,27.334999,27.334999,138324400,27.4975005
5,"Friday, 10 April 2020",,,,27.334999,,,27.4975005
1,"Monday, 13 April 2020",27,28.440001,26.535,28.285,28.285,106740400,27.4875005
2,"Tuesday, 14 April 2020",30.025,32.200001,29.695,31.955,31.955,122512400,30.9475005
3,"Wednesday, 15 April 2020",30.455,31.695,29.83,30.895,30.895,107922000,30.7625
4,"Thursday, 16 April 2020",31.905001,33.035,30.975,32.549999,32.549999,140730000,32.005
5,"Friday, 17 April 2020",33.834999,34.049999,32.014999,33.365002,33.365002,115891200,33.032499
1,"Monday, 20 April 2020",32.595001,33.755001,32.23,32.285,32.285,96749600,32.9925005
2,"Tuesday, 21 April 2020",31.33,31.565001,28.155001,28.715,28.715,129872400,29.860001
3,"Wednesday, 22 April 2020",30.514999,31.83,30.155001,31.254999,31.254999,68546400,30.9925005
4,"Thursday, 23 April 2020",31.615,32.794998,30.860001,31.049999,31.049999,106217000,31.8274995
5,"Friday, 24 April 2020",31.27,32.700001,30.605,32.549999,32.549999,79495400,31.6525005
1,"Monday, 27 April 2020",33.59,33.794998,32.82,33.185001,33.185001,76185400,33.307499
2,"Tuesday, 28 April 2020",34.110001,34.115002,31.305,31.389999,31.389999,96561800,32.710001
3,"Wednesday, 29 April 2020",33.525002,35.185001,33.044998,34.654999,34.654999,86526000,34.1149995
4,"Thursday, 30 April 2020",35.205002,35.235001,33.974998,34.884998,34.884998,95136200,34.6049995
5,"Friday, 1 May 2020",32.66,33.654999,31.25,31.754999,31.754999,86561400,32.4524995
1,"Monday, 4 May 2020",31.27,32.965,31.035,32.875,32.875,50189000,32
2,"Tuesday, 5 May 2020",33.865002,35.110001,33.605,33.924999,33.924999,72178600,34.3575005
3,"Wednesday, 6 May 2020",34.77,35.564999,34.195,34.595001,34.595001,77970200,34.8799995
4,"Thursday, 7 May 2020",35.915001,36.375,35.285,35.945,35.945,72372400,35.83
5,"Friday, 8 May 2020",36.775002,37.474998,36.259998,37.395,37.395,65550600,36.867498
1,"Monday, 11 May 2020",36.735001,38.950001,36.625,38.325001,38.325001,67346000,37.7875005
2,"Tuesday, 12 May 2020",38.735001,39.064999,36.014999,36.044998,36.044998,84840800,37.539999
3,"Wednesday, 13 May 2020",36.294998,37.224998,33.380001,34.68,34.68,122779800,35.3024995
4,"Thursday, 14 May 2020",34.02,35.845001,33.055,35.830002,35.830002,100749800,34.4500005
5,"Friday, 15 May 2020",34.355,36.549999,34.145,36.445,36.445,89451600,35.3474995
1,"Monday, 18 May 2020",38,39.099998,37.610001,38.555,38.555,74118600,38.3549995
2,"Tuesday, 19 May 2020",38.689999,39.785,38.200001,38.259998,38.259998,65357600,38.9925005
3,"Wednesday, 20 May 2020",39.605,40.755001,39.605,40.5,40.5,71354000,40.1800005
4,"Thursday, 21 May 2020",40.619999,40.959999,38.965,39.255001,39.255001,80673400,39.9624995
5,"Friday, 22 May 2020",39.044998,39.744999,38.525002,39.610001,39.610001,52416200,39.1350005
1,"Monday, 25 May 2020",,,,39.610001,,,39.1350005
2,"Tuesday, 26 May 2020",41.525002,41.66,39.189999,39.445,39.445,61300600,40.4249995
3,"Wednesday, 27 May 2020",39.055,40.02,36.689999,40,40,86822800,38.3549995
